Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Device,Sim.Pins,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C10, C2",3,47pF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other,,,,,,
C11,1,47nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other,,,,,,
C3,1,1µF,CP_Radial_D5.0mm_P2.50mm,,,,tht,Polarized capacitor,capacitor/THT/other,,,,,,
"C4, C5, C6, C7",4,100nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other,,,,,,
C8,1,100µF,CP_Radial_D5.0mm_P2.50mm,,,,tht,Polarized capacitor,capacitor/THT/other,,,,,,
C9,1,10nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other,,,,,,
"D1, D2, D3, D4, D5, D6, D7, D8",8,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,,,,tht,Diode,diode/THT,D,1=K 2=A,,,,
J1,1,USB POWER IN,UJ2BHRGTH,,UJ2-B-HR-G-TH,,tht,"Type B, USB 2.0, 480 Mbps, 5 Vdc, 1.5 A, Right Angle, Through Hole Mounting Style, Through Hole Contact Pin Type, Board Lock, 0.6 in Plating Thickness, Black Insulator, Pick & Place, USB Receptacle",,,,11.1,179-UJ2-B-HR-G-TH,https://www.mouser.co.uk/ProductDetail/Same-Sky/UJ2-B-HR-G-TH?qs=HoCaDK9Nz5cuzuu5C%2FN7nw%3D%3D,Same Sky
J2,1,ATARI JOYSTICK,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,,,,tht,"9-pin D-SUB connector, pins (male), Mounting Hole",connector/D_sub,,,,,,
J3,1,SPACE/0,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,,,
J4,1,VIDEO OUT,1560099E,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",,,,,,,
J5,1,TAPE IN,SJ3350820BTR,,,,tht,"Audio Jack, 2 Poles (Mono / TS)",,,,,,,
J6,1,TAPE OUT,SJ3350820BTR,,,,tht,"Audio Jack, 2 Poles (Mono / TS)",,,,,,,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",8,2N3904,TO-92_HandSolder,,,,tht,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",,NPN,1=E 2=B 3=C,,,,
"R1, R15, R18, R19, R2, R20, R21, R22, R23, R24, R25, R3, R34, R4, R5, R6, R7, R8, R9",19,1KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
R10,1,2.2KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
R11,1,330Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
"R12, R13",2,680Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
R14,1,10KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
R16,1,220KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
R17,1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
R26,1,30Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
"R27, R28, R29, R30, R31, R32, R43",7,4.7KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
R33,1,1MΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,
"RN2, RN3",2,10KΩ,R_Array_SIP9,,,,tht,"8 resistor network, star topology, bussed resistors, small symbol",resistor/array_SIP_THT,,,,,,
RN4,1,10KΩ,R_Array_SIP7,,,,tht,"6 resistor network, star topology, bussed resistors, small symbol",resistor/array_SIP_THT,,,,,,
SW1,1,1,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW10,1,E,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW11,1,D,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW12,1,X,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW13,1,4,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW14,1,R,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW15,1,F,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW16,1,C,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW17,1,5,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW18,1,T,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW19,1,G,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW2,1,Q,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW20,1,V,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW21,1,6,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW22,1,Y,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW23,1,H,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW24,1,B,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW25,1,7,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW26,1,U,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW27,1,J,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW28,1,N,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW29,1,8,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW3,1,A,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW30,1,I,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW31,1,K,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW32,1,M,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW33,1,9,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW34,1,O,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW35,1,L,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW36,1,DOT,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW37,1,ZERO,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW38,1,P,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW39,1,NL,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW4,1,SHIFT,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW40,1,SPACE,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW41,1,ROM BANK SELECT,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,,,,tht,"2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",button_switch/DIP,,,,,,
SW42,1,USA/UK,PinHeader_1x02_P2.54mm_Vertical,,,,tht,Single Pole Single Throw (SPST) switch,connector/pin_header_socket,,,,,,
SW43,1,LEFT,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW44,1,DOWN,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW45,1,UP,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW46,1,RIGHT,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW5,1,2,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW6,1,W,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW7,1,S,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW8,1,Z,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
SW9,1,3,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,,
U1,1,vLA81 ULA,DIP-40_W15.24mm,,,,tht,,package/DIP/legacy,,,,,,
U2,1,62256 32KB RAM,DIP-28_W15.24mm,,,,tht,"32,768-word × 8-bit High Speed CMOS Static RAM, 70ns, DIP-28",package/DIP/legacy,,,,,,
U3,1,Z80 CPU,DIP-40_W15.24mm,,,,tht,"8-bit General Purpose Microprocessor, 8-bit data bus, 16-bit address bus, up to 6.17 / 8 / 10 / 20 MHz, CMOS version, DIP-40 (600 mil)",package/DIP/legacy,,,,,,
U4,1,27C256 32KB ROM,DIP-28_W15.24mm,,,,tht,OTP EPROM 256 KiBit,package/DIP/legacy,,,,,,
