pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
125.502,-88.41697,0.0,top,C1,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,47pF,tht
81.56,-95.38277,0.0,top,C10,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,47pF,tht
84.06,-98.55777,180.0,top,C11,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,47nF,tht
127.962,-105.56197,180.0,top,C2,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,47pF,tht
176.7646,-109.37197,180.0,top,C3,,,CP_Radial_D5.0mm_P2.50mm,1µF,tht
145.3946,-58.57197,0.0,top,C4,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,100nF,tht
110.0896,-58.57197,180.0,top,C5,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,100nF,tht
227.5246,-58.57197,180.0,top,C6,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,100nF,tht
207.8396,-58.57197,180.0,top,C7,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,100nF,tht
76.375113,-82.68277,180.0,top,C8,,,CP_Radial_D5.0mm_P2.50mm,100µF,tht
81.56,-107.44777,0.0,top,C9,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,10nF,tht
221.1496,-104.60197,-90.0,top,D1,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
224.9596,-104.60197,-90.0,top,D2,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
228.7696,-104.60197,-90.0,top,D3,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
232.5796,-104.60197,-90.0,top,D4,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
236.3896,-104.60197,-90.0,top,D5,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
240.1996,-104.60197,-90.0,top,D6,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
244.0096,-104.60197,-90.0,top,D7,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
247.8196,-104.60197,-90.0,top,D8,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
61.8296,-191.92197,0.0,top,H1,,,MountingHole_3.2mm_M3,MountingHole,tht
317.3296,-191.92197,0.0,top,H2,,,MountingHole_3.2mm_M3,MountingHole,tht
317.3296,-58.42197,0.0,top,H3,,,MountingHole_3.2mm_M3,MountingHole,tht
61.8296,-58.42197,0.0,top,H4,,,MountingHole_3.2mm_M3,MountingHole,tht
73.7746,-70.03197,180.0,top,J1,UJ2-B-HR-G-TH,,UJ2BHRGTH,USB POWER IN,tht
